Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	P	<td>	100	<td>	5.13	<td>	0.2	<td>	3.307	<td>	0.005	<td>	3.312	<td>	0.172	<td> 30.9737620<td> 1.
	S	<td>	---	<td>	2.847	<td>	---	<td>	1.0186	<td>	0.007	<td>	1.026	<td>	0.53	<td> 32.06<td> 1.
	32S	<td>	95.02	<td>	2.804	<td>	0	<td>	0.988	<td>	0	<td>	0.988	<td>	0.54	<td> 31.97207070<td> 1.
	33S	<td>	0.75	<td>	4.74	<td>	1.5	<td>	2.8	<td>	0.3	<td>	3.1	<td>	0.54	<td> 32.97145843<td> 1.
	34S	<td>	4.21	<td>	3.48	<td>	0	<td>	1.52	<td>	0	<td>	1.52	<td>	0.227	<td> 33.96786665<td> 1.
	36S	<td>	0.02	<td>	3.(1.) 	<td>	0	<td>	1.1	<td>	0	<td>	1.1	<td>	0.15	<td> 35.96708062<td> 1.
	Cl	<td>	---	<td>	9.5770	<td>	---	<td>	11.5257	<td>	5.3	<td>	16.8	<td>	33.5	<td> 35.45<td> 1.
	35Cl	<td>	75.77	<td>	11.65	<td>	6.1	<td>	17.06	<td>	4.7	<td>	21.8	<td>	44.1	<td> 34.968852721<td> 1.
	37Cl	<td>	24.23	<td>	3.08	<td>	0.1	<td>	1.19	<td>	0.001	<td>	1.19	<td>	0.433	<td> 36.96590262 <td> 1.
	Ar	<td>	---	<td>	1.909	<td>	---	<td>	0.458	<td>	0.225	<td>	0.683	<td>	0.675	<td> 39.948<td> 1.
	36Ar	<td>	0.337	<td>	24.90	<td>	0	<td>	77.9	<td>	0	<td>	77.9	<td>	5.2	<td> 35.96754552<td> 1.
	38Ar	<td>	0.063	<td>	3.5	<td>	0	<td>	1.5(3.1)	<td>	0	<td>	1.5(3.1)	<td>	0.8	<td> 37.9627325<td> 1.
	40Ar	<td>	99.6	<td>	1.830	<td>	0	<td>	0.421	<td>	0	<td>	0.421	<td>	0.66	<td> 39.96238 <td> 1.
	K	<td>	---	<td>	3.67	<td>	---	<td>	1.69	<td>	0.27	<td>	1.96	<td>	2.1	<td> 39.098<td> 2.2
	39K	<td>	93.258	<td>	3.74	<td>	1.4	<td>	1.76	<td>	0.25	<td>	2.01	<td>	2.1	<td> 38.9637074<td> 2.2
	40K	<td>	0.012	<td>	3.(1.) 	<td>	---	<td>	1.1	<td>	0.5	<td>	1.6	<td>	35.(8.)	<td> 39.9639992<td> 2.2
	41K	<td>	6.73	<td>	2.69	<td>	1.5	<td>	0.91	<td>	0.3	<td>	1.2	<td>	1.46	<td> 40.9618254 <td> 2.2
	Ca	<td>	---	<td>	4.70	<td>	---	<td>	2.78	<td>	0.05	<td>	2.83	<td>	0.43	<td> 40.078<td> 1.8
	40Ca	<td>	96.941	<td>	4.80	<td>	0	<td>	2.9	<td>	0	<td>	2.9	<td>	0.41	<td> 39.9625906<td> 1.8
	42Ca	<td>	0.647	<td>	3.36	<td>	0	<td>	1.42	<td>	0	<td>	1.42	<td>	0.68	<td> 41.9586176<td> 1.8
	43Ca	<td>	0.135	<td>	-1.56	<td>	---	<td>	0.31	<td>	0.5	<td>	0.8	<td>	6.2	<td> 42.9587662<td> 1.8
	44Ca	<td>	2.086	<td>	1.42	<td>	0	<td>	0.25	<td>	0	<td>	0.25	<td>	0.88	<td> 43.9554806<td> 1.8
