Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	111Cd	<td>	12.81	<td>	6.5	<td>	---	<td>	5.3	<td>	0.3	<td>	5.6	<td>	24	<td> 110.904182<td> 1.55
	112Cd	<td>	24.13	<td>	6.4	<td>	0	<td>	5.1	<td>	0	<td>	5.1	<td>	2.2	<td> 111.902757<td> 1.55
	113Cd	<td>	12.22	<td>	-8.0-5.73<i>i</i>	<td>	---	<td>	12.1	<td>	0.3	<td>	12.4	<td>	20600.(400.)	<td> 112.904400<td> 1.55
	114Cd	<td>	28.72	<td>	7.5	<td>	0	<td>	7.1	<td>	0	<td>	7.1	<td>	0.34	<td> 113.903357 <td> 1.55
	116Cd	<td>	7.47	<td>	6.3	<td>	0	<td>	5	<td>	0	<td>	5	<td>	0.075	<td> 115.904755<td> 1.55
	In	<td>	---	<td>	4.065-0.0539<i>i</i>	<td>	---	<td>	2.08	<td>	0.54	<td>	2.62	<td>	193.8(1.5)	<td> 114.818<td> 1.55
	113In	<td>	4.3	<td>	5.39	<td>	(+/-)0.017	<td>	3.65	<td>	0.000037	<td>	3.65	<td>	12.0(1.1)	<td> 112.904061<td> 1.55
	115In	<td>	95.7	<td>	4.01-0.0562<i>i</i>	<td>	-2.1	<td>	2.02	<td>	0.55	<td>	2.57	<td>	202.(2.)	<td> 114.903882 <td> 1.55
	Sn	<td>	---	<td>	6.225	<td>	---	<td>	4.871	<td>	0.022	<td>	4.892	<td>	0.626	<td> 118.710<td> 1.45
	112Sn	<td>	1	<td>	6.(1.)	<td>	0	<td>	4.5(1.5)	<td>	0	<td>	4.5(1.5)	<td>	1	<td> 111.904826<td> 1.45
	114Sn	<td>	0.7	<td>	6.2	<td>	0	<td>	4.8	<td>	0	<td>	4.8	<td>	0.114	<td> 113.902784<td> 1.45
	115Sn	<td>	0.4	<td>	6.(1.)	<td>	---	<td>	4.5(1.5)	<td>	0.3	<td>	4.8(1.5)	<td>	30.(7.)	<td> 114.903348<td> 1.45
	116Sn	<td>	14.7	<td>	5.93	<td>	0	<td>	4.42	<td>	0	<td>	4.42	<td>	0.14	<td> 115.901747<td> 1.45
	117Sn	<td>	7.7	<td>	6.48	<td>	---	<td>	5.28	<td>	0.3	<td>	5.6	<td>	2.3	<td> 116.902956<td> 1.45
	118Sn	<td>	24.3	<td>	6.07	<td>	0	<td>	4.63	<td>	0	<td>	4.63	<td>	0.22	<td> 117.901609<td> 1.45
	119Sn	<td>	8.6	<td>	6.12	<td>	---	<td>	4.71	<td>	0.3	<td>	5	<td>	2.2	<td> 118.903311<td> 1.45
	120Sn	<td>	32.4	<td>	6.49	<td>	0	<td>	5.29	<td>	0	<td>	5.29	<td>	0.14	<td> 119.9021991<td> 1.45
	122Sn	<td>	4.6	<td>	5.74	<td>	0	<td>	4.14	<td>	0	<td>	4.14	<td>	0.18	<td> 121.9034404<td> 1.45
	124Sn	<td>	5.6	<td>	5.97	<td>	0	<td>	4.48	<td>	0	<td>	4.48	<td>	0.133	<td> 123.9052743 <td> 1.45
	Sb	<td>	---	<td>	5.57	<td>	---	<td>	3.9	<td>	0.007	<td>	3.9	<td>	4.91	<td> 121.760<td> 1.45
	121Sb	<td>	57.3	<td>	5.71	<td>	-0.05	<td>	4.1	<td>	0.0003	<td>	4.1	<td>	5.75	<td> 120.9038212<td> 1.45 
	123Sb	<td>	42.7	<td>	5.38	<td>	-0.10	<td>	3.64	<td>	0.001	<td>	3.64	<td>	3.8	<td> 122.9042160<td> 1.45
	Te	<td>	---	<td>	5.80	<td>	---	<td>	4.23	<td>	0.09	<td>	4.32	<td>	4.7	<td> 127.60<td> 1.4
	120Te	<td>	0.096	<td>	5.3	<td>	0	<td>	3.5	<td>	0	<td>	3.5	<td>	2.3	<td> 119.904048<td> 1.4
	122Te	<td>	2.6	<td>	3.8	<td>	0	<td>	1.8	<td>	0	<td>	1.8	<td>	3.4	<td> 121.903050 <td> 1.4
	123Te	<td>	0.908	<td>	-0.05-0.116<i>i</i>	<td>	-2.04	<td>	0.002	<td>	0.52	<td>	0.52	<td>	418.(30.)	<td> 122.9042710 <td> 1.4
	124Te	<td>	4.816	<td>	7.96	<td>	0	<td>	8	<td>	0	<td>	8	<td>	6.8(1.3)	<td> 123.9028180 <td> 1.4
	125Te	<td>	7.14	<td>	5.02	<td>	-0.26	<td>	3.17	<td>	0.008	<td>	3.18	<td>	1.55	<td> 124.9044285 <td> 1.4
	126Te	<td>	18.95	<td>	5.56	<td>	0	<td>	3.88	<td>	0	<td>	3.88	<td>	1.04	<td> 125.9033095<td> 1.4
	128Te	<td>	31.69	<td>	5.89	<td>	0	<td>	4.36	<td>	0	<td>	4.36	<td>	0.215	<td> 127.904463 <td> 1.4
	130Te	<td>	33.8	<td>	6.02	<td>	0	<td>	4.55	<td>	0	<td>	4.55	<td>	0.29	<td> 129.906229<td> 1.4
	I	<td>	100	<td>	5.28	<td>	1.58	<td>	3.5	<td>	0.31	<td>	3.81	<td>	6.15	<td> 126.904473<td> 1.4
	Xe	<td>	---	<td>	4.92	<td>	3.04	<td>	2.96	<td>	0	<td>	---	<td>	23.9(1.2)	<td>  131.293<td> 1.4  
	124Xe	<td>	0.1	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	165.(20.)	<td> 123.9058942<td> 1.4
	126Xe	<td>	0.09	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	3.5	<td> 125.904281<td> 1.4
	128Xe	<td>	1.91	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	<8	<td> 127.9035312 <td> 1.4
	129Xe	<td>	26.4	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	21.(5.)	<td> 128.9047801 <td> 1.4
	130Xe	<td>	4.1	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	<26.	<td> 129.9035094<td> 1.4
	131Xe	<td>	21.2	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	85.(10.)	<td> 130.905072<td> 1.4 
	132Xe	<td>	26.9	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	0.45	<td> 131.904144<td> 1.4
	134Xe	<td>	10.4	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	0.265	<td> 133.905395<td> 1.4
	136Xe	<td>	8.9	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	0.26	<td> 135.907214 <td> 1.4
	Cs	<td>	100	<td>	5.42	<td>	1.29	<td>	3.69	<td>	0.21	<td>	3.9	<td>	29.0(1.5)	<td> 132.905429<td> 2.6
	Ba	<td>	---	<td>	5.07	<td>	---	<td>	3.23	<td>	0.15	<td>	3.38	<td>	1.1	<td> 137.327<td> 2.15
	130Ba	<td>	0.11	<td>	-3.6	<td>	0	<td>	1.6	<td>	0	<td>	1.6	<td>	30.(5.)	<td> 129.906282<td> 2.15
	132Ba	<td>	0.1	<td>	7.8	<td>	0	<td>	7.6	<td>	0	<td>	7.6	<td>	7	<td> 131.905042<td> 2.15
	134Ba	<td>	2.42	<td>	5.7	<td>	0	<td>	4.08	<td>	0	<td>	4.08	<td>	2.0(1.6)	<td> 133.904486<td> 2.15 
	135Ba	<td>	6.59	<td>	4.67	<td>	---	<td>	2.74	<td>	0.5	<td>	3.2	<td>	5.8	<td> 134.905665 <td> 2.15
	136Ba	<td>	7.85	<td>	4.91	<td>	0	<td>	3.03	<td>	0	<td>	3.03	<td>	0.68	<td> 135.904553<td> 2.15
	137Ba	<td>	11.23	<td>	6.83	<td>	---	<td>	5.86	<td>	0.5	<td>	6.4	<td>	3.6	<td> 136.905812<td> 2.15
	138Ba	<td>	71.7	<td>	4.84	<td>	0	<td>	2.94	<td>	0	<td>	2.94	<td>	0.27	<td> 137.905232 <td> 2.15
	La	<td>	---	<td>	8.24	<td>	---	<td>	8.53	<td>	1.13	<td>	9.66	<td>	8.97	<td> 138.90547<td> 1.95
	138La	<td>	0.09	<td>	8.(2.)	<td>	---	<td>	8.(4.)	<td>	0.5	<td>	8.5(4.0)	<td>	57.(6.)	<td> 137.907105<td> 1.95
	139La	<td>	99.91	<td>	8.24	<td>	3.0	<td>	8.53	<td>	1.13	<td>	9.66	<td>	8.93	<td> 138.906347<td> 1.95
	Ce	<td>	---	<td>	4.84	<td>	---	<td>	2.94	<td>	0.001	<td>	2.94	<td>	0.63	<td> 140.116 <td> 1.85
	136Ce	<td>	0.19	<td>	5.80	<td>	0	<td>	4.23	<td>	0	<td>	4.23	<td>	7.3(1.5)	<td> 135.907140<td> 1.85
	138Ce	<td>	0.25	<td>	6.70	<td>	0	<td>	5.64	<td>	0	<td>	5.64	<td>	1.1	<td> 137.905985<td> 1.85
	140Ce	<td>	88.48	<td>	4.84	<td>	0	<td>	2.94	<td>	0	<td>	2.94	<td>	0.57	<td> 139.905433 <td> 1.85
	142Ce	<td>	11.08	<td>	4.75	<td>	0	<td>	2.84	<td>	0	<td>	2.84	<td>	0.95	<td> 141.909241<td> 1.85
	Pr	<td>	100	<td>	4.58	<td>	-0.35	<td>	2.64	<td>	0.015	<td>	2.66	<td>	11.5	<td> 140.907647<td> 1.85
	Nd	<td>	---	<td>	7.69	<td>	---	<td>	7.43	<td>	9.2	<td>	16.6	<td>	50.5(1.2)	<td> 144.242<td> 1.85
	142Nd	<td>	27.16	<td>	7.7	<td>	0	<td>	7.5	<td>	0	<td>	7.5	<td>	18.7	<td> 141.907719<td> 1.85
	143Nd	<td>	12.18	<td>	14.(2.)	<td>	(+/-)21.(1.)	<td>	25.(7.)	<td>	55.(7.)	<td>	80.(2.)	<td>	337.(10.) 	<td> 142.909810<td> 1.85
	144Nd	<td>	23.8	<td>	2.8	<td>	0	<td>	1	<td>	0	<td>	1	<td>	3.6	<td> 143.910083 <td> 1.85
	145Nd	<td>	8.29	<td>	14.(2.)	<td>	---	<td>	25.(7.)	<td>	5.(5.)	<td>	30.(9.)	<td>	42.(2.)	<td> 144.912570<td> 1.85
	146Nd	<td>	17.19	<td>	8.7	<td>	0	<td>	9.5	<td>	0	<td>	9.5	<td>	1.4	<td> 145.913113<td> 1.85
	148Nd	<td>	5.75	<td>	5.7	<td>	0	<td>	4.1	<td>	0	<td>	4.1	<td>	2.5	<td> 147.916889 <td> 1.85
	150Nd	<td>	5.63	<td>	5.3	<td>	0	<td>	3.5	<td>	0	<td>	3.5	<td>	1.2	<td> 149.920887 <td> 1.85
	Pm	<td>    ---	<td>	12.6	<td>	(+/-)3.2(2.5)	<td>	20.0(1.3)	<td>	1.3(2.0)	<td>	21.3(1.5)	<td>	168.4(3.5)	<td> 146.915134<td> 1.85
	147Pm	<td>	100	<td>	12.6	<td>	(+/-)3.2(2.5)	<td>	20.0(1.3)	<td>	1.3(2.0)	<td>	21.3(1.5)	<td>	168.4(3.5)	<td> 146.915134<td> 1.85
	Sm	<td>	---	<td>	0.80-1.65<i>i</i>	<td>	---	<td>	0.422	<td>	39.(3.)	<td>	39.(3.)	<td>	5922.(56.)	<td> 150.36<td> 1.85
	144Sm	<td>	3.1	<td>	-3.(4.)	<td>	0	<td>	1.(3.)	<td>	0	<td>	1.(3.)	<td>	0.7	<td> 143.911998<td> 1.85
	147Sm	<td>	15.1	<td>	14.(3.)	<td>	(+/-)11.(7.)	<td>	25.(11.)	<td>	143(19.)	<td>	39.(16.)	<td>	57.(3.)	<td> 146.914894<td> 1.85
	148Sm	<td>	11.3	<td>	-3.(4.)	<td>	0	<td>	1.(3.)	<td>	0	<td>	1.(3.)	<td>	2.4	<td> 147.914819 <td> 1.85
	149Sm	<td>	13.9	<td>	-19.2-11.7<i>i</i>	<td>	(+/-)31.4-10.3<i>i</i>	<td>	63.5	<td>	137.(5.)	<td>	200.(5.)	<td>	42080.(400.)	<td> 148.917180<td> 1.85
	150Sm	<td>	7.4	<td>	14.(3.)	<td>	0	<td>	25.(11.)	<td>	0	<td>	25.(11.)	<td>	104.(4.)	<td> 149.917273<td> 1.85
	152Sm	<td>	26.6	<td>	-5.0	<td>	0	<td>	3.1	<td>	0	<td>	3.1	<td>	206.(6.)	<td> 151.919728<td> 1.85
	154Sm	<td>	22.6	<td>	9.3	<td>	0	<td>	11.(2.)	<td>	0	<td>	11.(2.)	<td>	8.4	<td> 153.922205 <td> 1.85
	Eu	<td>	---	<td>	7.22-1.26<i>i</i>	<td>	---	<td>	6.57	<td>	2.5	<td>	9.2	<td>	4530.(40.)	<td> 151.964 <td> 1.85
	151Eu	<td>	47.8	<td>	6.13-2.53<i>i</i>	<td>	(+/-)4.5-2.14<i>i</i>	<td>	5.5	<td>	3.1	<td>	8.6	<td>	9100.(100.)	<td> 150.919702<td> 1.85
	153Eu	<td>	52.2	<td>	8.22	<td>	3.2	<td>	8.5	<td>	1.3	<td>	9.8	<td>	312.(7.)	<td> 152.921225<td> 1.85tr>
	Gd	<td>	---	<td>	6.5-13.82<i>i</i>	<td>	---	<td>	29.3	<td>	151.(2.)	<td>	180.(2.)	<td>	49700.(125.)	<td> 157.25<td> 1.8
	152Gd	<td>	0.2	<td>	10.(3.)	<td>	0	<td>	13.(8.)	<td>	0	<td>	13.(8.)	<td>	735.(20.)	<td> 151.919786 <td> 1.8
	154Gd	<td>	2.1	<td>	10.(3.)	<td>	0	<td>	13.(8.)	<td>	0	<td>	13.(8.)	<td>	85.(12.)	<td> 153.920861<td> 1.8
	155Gd	<td>	14.8	<td>	6.0-17.0<i>i</i>	<td>	(+/-)5.(5.)-13.16<i>i</i>	<td>	40.8	<td>	25.(6.)	<td>	66.(6.)	<td>	61100.(400.)	<td> 154.922618<td> 1.8
	156Gd	<td>	20.6	<td>	6.3	<td>	0	<td>	5	<td>	0	<td>	5	<td>	1.5(1.2)	<td> 155.922118 <td> 1.8
	157Gd	<td>	15.7	<td>	-1.14-71.9<i>i</i>	<td>	(+/-)5.(5.)-55.8<i>i</i>	<td>	650.(4.)	<td>	394.(7.)	<td>	1044.(8.)	<td>	259000.(700.)	<td> 156.923956<td> 1.8
	158Gd	<td>	24.8	<td>	9.(2.)	<td>	0	<td>	10.(5.)	<td>	0	<td>	10.(5.)	<td>	2.2	<td> 157.924019 <td> 1.8
	160Gd	<td>	21.8	<td>	9.15	<td>	0	<td>	10.52	<td>	0	<td>	10.52	<td>	0.77	<td> 159.927049 <td> 1.8
	Tb	<td>	100	<td>	7.38	<td>	-0.17	<td>	6.84	<td>	0.004	<td>	6.84	<td>	23.4	<td> 158.925342<td> 1.75
	Dy	<td>	---	<td>	16.9-0.276<i>i</i>	<td>	---	<td>	35.9	<td>	54.4(1.2)	<td>	90.3	<td>	994.(13.)	<td>   162.500 <td> 1.75       
	156Dy	<td>	0.06	<td>	6.1	<td>	0	<td>	4.7	<td>	0	<td>	4.7	<td>	33.(3.)	<td> 155.924277<td> 1.75
	158Dy	<td>	0.1	<td>	6.(4.)	<td>	0	<td>	5.(6.)	<td>	0	<td>	5.(6.)	<td>	43.(6.)	<td>  157.924403<td> 1.75
	160Dy	<td>	2.34	<td>	6.7	<td>	0	<td>	5.6	<td>	0	<td>	5.6	<td>	56.(5.)	<td> 159.925193<td> 1.75
	161Dy	<td>	19	<td>	10.3	<td>	(+/-)4.9	<td>	13.3	<td>	3.(1.)	<td>	16.(1.)	<td>	600.(25.)	<td> 160.92693<td> 1.75  
	162Dy	<td>	25.5	<td>	-1.4	<td>	0	<td>	0.25	<td>	0	<td>	0.25	<td>	194.(10.)	<td> 161.926795<td> 1.75
	163Dy	<td>	24.9	<td>	5.0	<td>	1.3	<td>	3.1	<td>	0.21	<td>	3.3	<td>	124.(7.)	<td> 162.928728<td> 1.75
	164Dy	<td>	28.1	<td>	49.4-0.79<i>i</i>	<td>	0	<td>	307.(3.)	<td>	0	<td>	307.(3.)	<td>	2840.(40.)	<td> 163.929171<td> 1.75
	Ho	<td>	100	<td>	8.01	<td>	-1.70	<td>	8.06	<td>	0.36	<td>	8.42	<td>	64.7(1.2)	<td> 164.930319<td> 1.75
	Er	<td>	---	<td>	7.79	<td>	---	<td>	7.63	<td>	1.1	<td>	8.7	<td>	159.(4.)	<td>  167.259      <td> 1.75    
	162Er	<td>	0.14	<td>	8.8	<td>	0	<td>	9.7	<td>	0	<td>	9.7	<td>	19.(2.)	<td> 161.928775 <td> 1.75
	164Er	<td>	1.56	<td>	8.2	<td>	0	<td>	8.4	<td>	0	<td>	8.4	<td>	13.(2.)	<td> 163.929198<td> 1.75
	166Er	<td>	33.4	<td>	10.6	<td>	0	<td>	14.1	<td>	0	<td>	14.1	<td>	19.6(1.5)	<td>165.930290<td> 1.75  
	167Er	<td>	22.9	<td>	3.0	<td>	1.0	<td>	1.1	<td>	0.13	<td>	1.2	<td>	659.(16.)	<td> 166.932046<td> 1.75
	168Er	<td>	27.1	<td>	7.4	<td>	0	<td>	6.9	<td>	0	<td>	6.9	<td>	2.74	<td> 167.932368<td> 1.75
	170Er	<td>	14.9	<td>	9.6	<td>	0	<td>	11.6	<td>	0	<td>	11.6(1.2)	<td>	5.8	<td> 169.935461<td> 1.75
	Tm	<td>	100	<td>	7.07	<td>	0.9	<td>	6.28	<td>	0.1	<td>	6.38	<td>	100.(2.)	<td> 168.934212<td> 1.75
	Yb	<td>	---	<td>	12.43	<td>	---	<td>	19.42	<td>	4	<td>	23.4	<td>	34.8	<td> 173.054 <td> 1.75
	168Yb	<td>	0.14	<td>	-4.07-0.62<i>i</i>	<td>	0	<td>	2.13	<td>	0	<td>	2.13	<td>	2230.(40.)	<td> 167.933894<td> 1.75
	170Yb	<td>	3.06	<td>	6.77	<td>	0	<td>	5.8	<td>	0	<td>	5.8	<td>	11.4(1.0)	<td> 169.934759 <td> 1.75
	171Yb	<td>	14.3	<td>	9.66	<td>	-5.59	<td>	11.7	<td>	3.9	<td>	15.6	<td>	48.6(2.5)	<td> 170.936323<td> 1.75
	172Yb	<td>	21.9	<td>	9.43	<td>	0	<td>	11.2	<td>	0	<td>	11.2	<td>	0.8	<td> 171.936378<td> 1.75
	173Yb	<td>	16.1	<td>	9.56	<td>	-5.3	<td>	11.5	<td>	3.5	<td>	15	<td>	17.1(1.3)	<td> 172.938208<td> 1.75
	174Yb	<td>	31.8	<td>	19.3	<td>	0	<td>	46.8	<td>	0	<td>	46.8	<td>	69.4(5.0)	<td> 173.938859<td> 1.75
	176Yb	<td>	12.7	<td>	8.72	<td>	0	<td>	9.6	<td>	0	<td>	9.6	<td>	2.85	<td> 175.942564 <td> 1.75
	Lu	<td>	---	<td>	7.21	<td>	---	<td>	6.53	<td>	0.7	<td>	7.2	<td>	74.(2.)	<td> 174.9668<td> 1.75
	175Lu	<td>	97.39	<td>	7.24	<td>	(+/-)2.2	<td>	6.59	<td>	0.6	<td>	7.2	<td>	21.(3.)	<td> 174.940770<td> 1.75
	176Lu	<td>	2.61	<td>	6.1-0.57<i>i</i>	<td>	(+/-)3.0+0.61<i>i</i>	<td>	4.7	<td>	1.2	<td>	5.9	<td>	2065.(35.)	<td> 175.942679<td> 1.75
	Hf	<td>	---	<td>	7.7	<td>	---	<td>	7.6	<td>	2.6	<td>	10.2	<td>	104.1	<td> 178.49<td> 1.55
	174Hf	<td>	0.2	<td>	10.9(1.1)	<td>	0	<td>	15.(3.)	<td>	0	<td>	15.(3.)	<td>	561.(35.)	<td> 173.940044<td> 1.55
	176Hf	<td>	5.2	<td>	6.61	<td>	0	<td>	5.5	<td>	0	<td>	5.5	<td>	23.5(3.1)	<td> 175.941406<td> 1.55
	177Hf	<td>	18.6	<td>	0.8(1.0)	<td>	(+/-)0.9(1.3)	<td>	0.1	<td>	0.1	<td>	0.2	<td>	373.(10.) <td> 176.943217<td> 1.55
	178Hf	<td>	27.1	<td>	5.9	<td>	0	<td>	4.4	<td>	0	<td>	4.4	<td>	84.(4.)	<td> 177.943696 <td> 1.55
	179Hf	<td>	13.7	<td>	7.46	<td>	(+/-)1.06	<td>	7	<td>	0.14	<td>	7.1	<td>	41.(3.)	<td> 178.9458122<td> 1.55
	180Hf	<td>	35.2	<td>	13.2	<td>	0	<td>	21.9	<td>	0	<td>	21.9(1.0)	<td>	13.04	<td> 179.9465457 <td> 1.55
	Ta	<td>	---	<td>	6.91	<td>	---	<td>	6	<td>	0.01	<td>	6.01	<td>	20.6	<td> 180.94788<td> 1.45
	180Ta	<td>	0.012	<td>	7.(2.)	<td>	---	<td>	6.2	<td>	0.5	<td>	7.(4.)	<td>	563.(60.)	<td> 179.947462<td> 1.45
	181Ta	<td>	99.988	<td>	6.91	<td>	-0.29	<td>	6	<td>	0.011	<td>	6.01	<td>	20.5	<td> 180.947992<td> 1.45
	W	<td>	---	<td>	4.86	<td>	---	<td>	2.97	<td>	1.63	<td>	4.6	<td>	18.3	<td> 183.84<td> 1.35
	180W	<td>	0.1	<td>	5.(3.)	<td>	0	<td>	3.(4.)	<td>	0	<td>	3.(4.)	<td>	30.(20.)	<td> 179.946701<td> 1.35 
	182W	<td>	26.3	<td>	6.97	<td>	0	<td>	6.1	<td>	0	<td>	6.1	<td>	20.7	<td> 181.948202<td> 1.35
	183W	<td>	14.3	<td>	6.53	<td>	---	<td>	5.36	<td>	0.3	<td>	5.7	<td>	10.1	<td> 182.950220 <td> 1.35
	184W	<td>	30.7	<td>	7.48	<td>	0	<td>	7.03	<td>	0	<td>	7.03	<td>	1.7	<td> 183.950928 <td> 1.35
	186W	<td>	28.6	<td>	-0.72	<td>	0	<td>	0.065	<td>	0	<td>	0.065	<td>	37.9	<td> 185.954357 <td> 1.35
	Re	<td>	---	<td>	9.2	<td>	---	<td>	10.6	<td>	0.9	<td>	11.5	<td>	89.7(1.)	<td>  186.207<td> 1.35
	185Re	<td>	37.4	<td>	9.0	<td>	(+/-)2.0	<td>	10.2	<td>	0.5	<td>	10.7	<td>	112.(2.)	<td> 184.952951 <td> 1.35
	187Re	<td>	62.6	<td>	9.3	<td>	(+/-)2.8	<td>	10.9	<td>	1	<td>	11.9	<td>	76.4(1.)	<td> 186.955744 <td> 1.35
	Os	<td>	---	<td>	10.7	<td>	---	<td>	14.4	<td>	0.3	<td>	14.7	<td>	16	<td>  190.23<td> 1.3
	184Os	<td>	0.02	<td>	10.(2.)	<td>	0	<td>	13.(5.)	<td>	0	<td>	13.(5.)	<td>	3000.(150.)	<td> 183.952488<td> 1.3
	186Os	<td>	1.58	<td>	11.6(1.7)	<td>	0	<td>	17.(5.)	<td>	0	<td>	17.(5.)	<td>	80.(13.)	<td> 185.953830 <td> 1.3
	187Os	<td>	1.6	<td>	10.(2.)	<td>	---	<td>	13.(5.)	<td>	0.3	<td>	13.(5.)	<td>	320.(10.)	<td> 186.955741<td> 1.3
	188Os	<td>	13.3	<td>	7.6	<td>	0	<td>	7.3	<td>	0	<td>	7.3	<td>	4.7	<td> 187.955830 <td> 1.3
	189Os	<td>	16.1	<td>	10.7	<td>	---	<td>	14.4	<td>	0.5	<td>	14.9	<td>	25.(4.)	<td> 188.958137 <td> 1.3
	190Os	<td>	26.4	<td>	11.0	<td>	0	<td>	15.2	<td>	0	<td>	15.2	<td>	13.1	<td> 189.958436 <td> 1.3
	192Os	<td>	41	<td>	11.5	<td>	0	<td>	16.6	<td>	0	<td>	16.6(1.2)	<td>	2	<td> 191.961467<td> 1.3 
	Ir	<td>	---	<td>	10.6	<td>	---	<td>	14.1	<td>	0.(3.)	<td>	14.(3.)	<td>	425.(2.)	<td> 192.217<td> 1.35
	191Ir	<td>	37.3	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	954.(10.)	<td> 190.960584<td> 1.35
	193Ir	<td>	62.7	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	111.(5.)	<td> 192.962917<td> 1.35
	Pt	<td>	---	<td>	9.60	<td>	---	<td>	11.58	<td>	0.13	<td>	11.71	<td>	10.3	<td> 195.084<td> 1.35
	190Pt	<td>	0.01	<td>	9.0	<td>	0	<td>	10.(2.)	<td>	0	<td>	10.(2.)	<td>	152.(4.)	<td> 189.959917<td> 1.35
	192Pt	<td>	0.79	<td>	9.9	<td>	0	<td>	12.3(1.2)	<td>	0	<td>	12.3(1.2)	<td>	10.0(2.5)	<td>  	191.961019 <td> 1.35
	194Pt	<td>	32.9	<td>	10.55	<td>	0	<td>	14	<td>	0	<td>	14	<td>	1.44	<td> 193.962655<td> 1.35
	195Pt	<td>	33.8	<td>	8.83	<td>	-1.00	<td>	9.8	<td>	0.13	<td>	9.9	<td>	27.5(1.2)	<td> 194.964766<td> 1.35
	196Pt	<td>	25.3	<td>	9.89	<td>	0	<td>	12.3	<td>	0	<td>	12.3	<td>	0.72	<td> 195.964926 <td> 1.35
	198Pt	<td>	7.2	<td>	7.8	<td>	0	<td>	7.6	<td>	0	<td>	7.6	<td>	3.66	<td>  	197.967869<td> 1.35
	Au	<td>	100	<td>	7.63	<td>	-1.84	<td>	7.32	<td>	0.43	<td>	7.75	<td>	98.65	<td> 196.966543 <td> 1.35
	Hg	<td>	---	<td>	12.692	<td>	---	<td>	20.24	<td>	6.6	<td>	26.8	<td>	372.3(4.0)	<td> 200.59 <td> 1.5	           
	196Hg	<td>	0.2	<td>	30.3(1.0)	<td>	0	<td>	115.(8.)	<td>	0	<td>	115.(8.)	<td>	3080.(180.)	<td>  	195.965807<td> 1.5
	198Hg	<td>	10.1	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	2	<td> 197.966743<td> 1.5
	199Hg	<td>	17	<td>	16.9	<td>	(+/-)15.5	<td>	36.(2.)	<td>	30.(3.)	<td>	66.(2.)	<td>	2150.(48.)	<td> 198.968254<td> 1.5
	200Hg	<td>	23.1	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	60.	<td>  	199.968300 <td> 1.5
	201Hg	<td>	13.2	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	7.8(2.0)	<td> 200.970277<td> 1.5 
	202Hg	<td>	29.6	<td>	---	<td>	0	<td>	---	<td>	0	<td>	9.828	<td>	4.89	<td> 201.970617 <td> 1.5
	204Hg	<td>	6.8	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	0.43	<td> 203.973467 <td> 1.5
	Tl	<td>	---	<td>	8.776	<td>	---	<td>	9.678	<td>	0.21	<td>	9.89	<td>	3.43	<td> 204.3833<td> 1.9
	203Tl	<td>	29.524	<td>	6.99	<td>	1.06	<td>	6.14	<td>	0.14	<td>	6.28	<td>	11.4	<td> 202.972320<td> 1.9
	205Tl	<td>	70.476	<td>	9.52	<td>	-0.242	<td>	11.39	<td>	0.007	<td>	11.4	<td>	0.104	<td> 204.974401 <td> 1.9
	Pb	<td>	---	<td>	9.405	<td>	---	<td>	11.115	<td>	0.003	<td>	11.118	<td>	0.171	<td> 207.2<td> 1.75
	204Pb	<td>	1.4	<td>	9.90	<td>	0	<td>	12.3	<td>	0	<td>	12.3	<td>	0.65	<td> 203.973020<td> 1.75
	206Pb	<td>	24.1	<td>	9.22	<td>	0	<td>	10.68	<td>	0	<td>	10.68	<td>	0.03	<td> 205.974440<td> 1.75
	207Pb	<td>	22.1	<td>	9.28	<td>	0.14	<td>	10.82	<td>	0.002	<td>	10.82	<td>	0.699	<td> 206.975872<td> 1.75
	208Pb	<td>	52.4	<td>	9.50	<td>	0	<td>	11.34	<td>	0	<td>	11.34	<td>	0.00048	<td> 207.976627<td> 1.75
	Bi	<td>	100	<td>	8.532	<td>	---	<td>	9.148	<td>	0.0084	<td>	9.156	<td>	0.0338	<td> 208.980374 <td> 1.6
	226Ra   <td>	(1.60E3 a)	<td>	10.0(1.0)	<td>	0	<td>	13.(3.)	<td>	0	<td>	13.(3.)	<td>	12.8(1.5)	<td> 226.025403<td> 1.6
